content,topic,subject,keywords
"INTRODUCTION CHAPTER Electrochemistry 17.1 Review of Redox Chemistry 17.2 Galvanic Cells 17.3 Electrode and Cell Potentials 17.4 Potential, Free Energy, and Equilibrium 17.5 Batteries and Fuel Cells 17.6 Corrosion 17.7 Electrolysis Another chapter in this text introduced the chemistry of reduction-oxidation (redox) reactions. This important reaction class is defined by changes in oxidation states for one or more reactant elements, and it includes a subset of reactions involving the transfer of electrons between reactant species. Around the turn of the nineteenth century, chemists began exploring ways these electrons could be transferred indirectly via an external circuit rather than directly via intimate contact of redox reactants. In the two centuries since, the field of electrochemistry has evolved to yield significant insights on the fundamental aspects of redox chemistry as well as a wealth of technologies ranging from industrial-scale metallurgical processes to robust, rechargeable batteries for electric vehicles . In this chapter, the essential concepts of electrochemistry will be addressed. 17.",Introduction to Electrochemistry,Chemistry,"cell potentials, galvanic cells, fuel cells, redox chemistry, oxidation numbers"
"Other applications of carbonates include glass making where carbonate ions serve as a source of oxide ions and synthesis of oxides. Hydrogen carbonates are amphoteric because they act as both weak acids and weak bases. Hydrogen carbonate ions act as acids and react with solutions of soluble hydroxides to form a carbonate and water: With acids, hydrogen carbonates form a salt, carbon dioxide, and water. Baking soda (bicarbonate of soda or sodium bicarbonate) is sodium hydrogen carbonate. Baking powder contains baking soda and a solid acid such as potassium hydrogen tartrate (cream of tartar), KHC4H4O6. As long as the powder is dry, no reaction occurs; immediately after the addition of water, the acid reacts with the hydrogen carbonate ions to form carbon dioxide: Dough will trap the carbon dioxide, causing it to expand during baking, producing the characteristic texture of baked goods. 18.7 Occurrence, Preparation, and Properties of Nitrogen By the end of this section, you will be able to: Describe the properties, preparation, and uses of nitrogen Most pure nitrogen comes from the fractional distillation of liquid air. The atmosphere consists of 78% nitrogen by volume. This means there are more than million tons of nitrogen over every square mile of the earth's surface. Nitrogen is a component of proteins and of the genetic material (DNA/RNA) of all plants and animals. Under ordinary conditions, nitrogen is a colorless, odorless, and tasteless gas. It boils at K and freezes at K. Liquid nitrogen is a useful coolant because it is inexpensive and has a low boiling point. Nitrogen is very unreactive because of the very strong triple bond between the nitrogen atoms. The only common reactions at room temperature occur with lithium to form Li3N, with certain transition metal complexes, and with hydrogen or oxygen in nitrogen-fixing bacteria. The general lack of reactivity of nitrogen makes the remarkable ability of some bacteria to synthesize nitrogen compounds using atmospheric nitrogen gas as the source one of the most exciting chemical events on our planet. This process is one type of nitrogen fixation. In this case, nitrogen fixation is the process where organisms convert atmospheric nitrogen into biologically useful chemicals. Nitrogen fixation also occurs when lightning passes through air, causing molecular nitrogen to react with oxygen to form nitrogen oxides, which are then carried down to the soil. CHEMISTRY IN EVERYDAY LIFE Nitrogen Fixation All living organisms require nitrogen compounds for survival. Unfortunately, most of these organisms cannot absorb nitrogen from its most abundant source the atmosphere. Atmospheric nitrogen consists of N2 molecules, which are very unreactive due to the strong nitrogen-nitrogen triple bond. However, a few organisms can overcome this problem through a process known as nitrogen fixation, illustrated . 18.7 Occurrence, Preparation, and Properties of Nitrogen Large volumes of atmospheric nitrogen are necessary for making ammonia the principal starting material used for preparation of large quantities of other nitrogen-containing compounds. Most other uses for elemental nitrogen depend on its inactivity. It is helpful when a chemical process requires an inert atmosphere. Canned foods and luncheon meats cannot oxidize in a pure nitrogen atmosphere, so they retain a better flavor and color, and spoil less rapidly, when sealed in nitrogen instead of air. This technology allows fresh produce to be available year-round, regardless of growing season. There are compounds with nitrogen in all of its oxidation states from to 5+. Much of the chemistry of nitrogen involves oxidation-reduction reactions. Some active metals (such as alkali metals and alkaline earth metals) can reduce nitrogen to form metal nitrides. In the remainder of this section, we will examine nitrogen-oxygen chemistry. There are well-characterized nitrogen oxides in which nitrogen exhibits each of its positive oxidation numbers from 1+ to 5+. When ammonium nitrate is carefully heated, nitrous oxide (dinitrogen oxide) and water vapor form. A few microorganisms are able to process atmospheric nitrogen using nitrogen fixation. Nitrogen fixation is the process where organisms convert atmospheric nitrogen into biologically useful chemicals. To date, the only known kind of biological organisms capable of nitrogen fixation are microorganisms. These organisms employ enzymes called nitrogenases, which contain iron and molybdenum. Many of these microorganisms live in a symbiotic relationship with plants, with the best-known example being the presence of rhizobia in the root nodules of legumes.","18.7 Occurrence, Preparation, and Properties of Nitrogen",Chemistry,"nitrogen, nitrogen fixation, atmospheric nitrogen, hydrogen carbonate, carbonate ions"
"LINK T O LE ARNING Watch this brief video ( illustrating endothermic and exothermic dissolution processes. 11.2 Electrolytes By the end of this section, you will be able to: Define and give examples of electrolytes Distinguish between the physical and chemical changes that accompany dissolution of ionic and covalent electrolytes Relate electrolyte strength to solute-solvent attractive forces When some substances are dissolved in water, they undergo either a physical or a chemical change that yields ions in solution. These substances constitute an important class of compounds called electrolytes. Substances that do not yield ions when dissolved are called nonelectrolytes. If the physical or chemical process that generates the ions is essentially 100% efficient (all of the dissolved compound yields ions), then the substance is known as a strong electrolyte. If only a relatively small fraction of the dissolved substance undergoes the ion-producing process, it is called a weak electrolyte. Substances may be identified as strong, weak, or nonelectrolytes by measuring the electrical conductance of an aqueous solution containing the substance. To conduct electricity, a substance must contain freely mobile, charged species. Most familiar is the conduction of electricity through metallic wires, in which case the mobile, charged entities are electrons. Solutions may also conduct electricity if they contain dissolved ions, with conductivity increasing as ion concentration increases. Applying a voltage to electrodes immersed in a solution permits assessment of the relative concentration of dissolved ions, either quantitatively, by measuring the electrical current flow, or qualitatively, by observing the brightness of a light bulb included in the circuit . 11 Solutions and Colloids Solutions of electrolytes contain ions that permit the passage of electricity. The conductivity of an electrolyte solution is related to the strength of the electrolyte. Ionic Electrolytes Water and other polar molecules are attracted to ions, as shown . The electrostatic attraction between an ion and a molecule with a dipole is called an ion-dipole attraction. These attractions play an important role in the dissolution of ionic compounds in water. The polar water molecules are attracted by the charges on the K+ and Cl ions. Water molecules in front of and behind the ions are not shown. 11.",11.2 Electrolytes,Chemistry,"ions, arning watch, instant cold, cold pack, electrolytes"
"2.3 Atomic Structure and Symbolism By the end of this section, you will be able to: Write and interpret symbols that depict the atomic number, mass number, and charge of an atom or ion Define the atomic mass unit and average atomic mass Calculate average atomic mass and isotopic abundance The development of modern atomic theory revealed much about the inner structure of atoms. It was learned that an atom contains a very small nucleus composed of positively charged protons and uncharged neutrons, surrounded by a much larger volume of space containing negatively charged electrons. The nucleus contains the majority of an atom's mass because protons and neutrons are much heavier than electrons, whereas electrons occupy almost all of an atom's volume. The diameter of an atom is on the order of 10 m, whereas the diameter of the nucleus is roughly 15 m about 100,000 times smaller. For a perspective about their relative sizes, consider this: If the nucleus were the size of a blueberry, the atom would be about the size of a football stadium . Atoms and the protons, neutrons, and electrons that compose them are extremely small. For example, a carbon atom weighs less than 10 g, and an electron has a charge of less than 10 C (coulomb). When describing the properties of tiny objects such as atoms, we use appropriately small units of measure, such as the unified atomic mass unit (u) and the fundamental unit of charge (e). The unified atomic mass unit is defined as exactly 1/12 of the mass of a single atom of the carbon-12 isotope (more on isotopes is provided later in this section) and is equal to 1.6605 24 g. The dalton (Da) is an alternative mass unit that is equivalent to the u. Many literature resources, including this text, use the older term atomic mass unit (amu) when referring to the u or the Da. The fundamental unit of charge (also called the elementary charge) equals the magnitude of the charge of an electron (e) with e = 1.602 19 C. A proton has a mass of 1.0073 amu and a charge of 1+. A neutron is a slightly heavier particle with a mass 1.0087 amu and a charge of zero; as its name suggests, it is neutral. The electron has a charge of and is a much lighter particle with a mass of about 0.00055 amu (it would take about electrons to equal the mass of one proton). The properties of these fundamental particles are summarized in Table 2.2. (An observant student might notice that the sum of an atom's subatomic particles does not equal the atom's actual mass: The total mass of six protons, six neutrons, and six electrons is 12.0993 amu, slightly larger than 12.00 amu. This missing mass is known as the mass defect, and you will learn about it in the chapter on nuclear chemistry.) 2.3 Atomic Structure and Symbolism Properties of Subatomic Particles Name Location Charge (C) Unit Charge Mass (amu) Mass (g) electron outside nucleus 1.602 19 0.00055 0.00091 24 proton nucleus 1.602 19 1+ 1.00727 1.67262 24 neutron nucleus 0 1.00866 1.67493 24 TABLE 2.2 The number of protons in the nucleus of an atom is its atomic number (Z). This is the defining trait of an element: Its value determines the identity of the atom. For example, any atom that contains six protons is the element carbon and has the atomic number 6, regardless of how many neutrons or electrons it may have. A neutral atom must contain the same number of positive and negative charges, so the number of protons equals the number of electrons. Therefore, the atomic number also indicates the number of electrons in an atom. The total number of protons and neutrons in an atom is called its mass number (A). The number of neutrons is therefore the difference between the mass number and the atomic number: A Z = number of neutrons. Atoms are electrically neutral if they contain the same number of positively charged protons and negatively charged electrons. When the numbers of these subatomic particles are not equal, the atom is electrically charged and is called an ion. The charge of an atom is defined as follows: Atomic charge = number of protons number of electrons As will be discussed in more detail later in this chapter, atoms (and molecules) typically acquire charge by gaining or losing electrons. An atom that gains one or more electrons will exhibit a negative charge and is called an anion. Positively charged atoms called cations are formed when an atom loses one or more electrons. For example, a neutral sodium atom (Z = 11) has electrons. If this atom loses one electron, it will become a cation with a 1+ charge (11 = 1+). A neutral oxygen atom (Z = 8) has eight electrons, and if it gains two electrons it will become an anion with a charge (8 = ). EXAMPLE 2.",2.3 Atomic Structure and Symbolism,Chemistry,"learning objectives, atom, mass, atomic mass, number"
"LINK T O LE ARNING To learn more about the relationship between mass, volume, and density, use this interactive simulator ( to explore the density of different materials. EXAMPLE 1.2 Using Displacement of Water to Determine Density This exercise uses a simulation ( to illustrate an alternative approach to the determination of density that involves measuring the object's volume via displacement of water. Use the simulator to determine the densities of iron and wood. Solution Click the turn fluid into water button in the simulator to adjust the density of liquid in the beaker to 1.00 g/mL. Remove the red block from the beaker and note the volume of water is 25.5 mL. Select the iron sample by clicking iron in the table of materials at the bottom of the screen, place the iron block on the balance pan, and observe its mass is 31.48 g. Transfer the iron block to the beaker and notice that it sinks, displacing a volume of water equal to its own volume and causing the water level to rise to 29.5 mL. The volume of the iron block is therefore: The density of the iron is then calculated to be: Remove the iron block from the beaker, change the block material to wood, and then repeat the mass and volume measurements. Unlike iron, the wood block does not sink in the water but instead floats on the water's surface. To measure its volume, drag it beneath the water's surface so that it is fully submerged. Note: The sink versus float behavior illustrated in this example demonstrates the property of buoyancy (see end of chapter Exercise 1.42 and Exercise 1.43). Check Your Learning Following the water displacement approach, use the simulator to measure the density of the foam sample. Answer: 0.230 g/mL 1.5 Measurement Uncertainty, Accuracy, and Precision By the end of this section, you will be able to: Define accuracy and precision Distinguish exact and uncertain numbers Correctly represent uncertainty in quantities using significant figures Apply proper rounding rules to computed quantities Counting is the only type of measurement that is free from uncertainty, provided the number of objects being counted does not change while the counting process is underway. The result of such a counting measurement is an example of an exact number. By counting the eggs in a carton, one can determine exactly how many eggs the carton contains. The numbers of defined quantities are also exact. By definition, foot is exactly inches, inch is exactly 2.54 centimeters, and gram is exactly 0.001 kilogram. Quantities derived from measurements other than 1.5 Measurement Uncertainty, Accuracy, and Precision counting, however, are uncertain to varying extents due to practical limitations of the measurement process used. Significant Figures in Measurement The numbers of measured quantities, unlike defined or directly counted quantities, are not exact. To measure the volume of liquid in a graduated cylinder, you should make a reading at the bottom of the meniscus, the lowest point on the curved surface of the liquid. Refer to the illustration . The bottom of the meniscus in this case clearly lies between the and markings, meaning the liquid volume is certainly greater than mL but less than mL. The meniscus appears to be a bit closer to the 22-mL mark than to the 21-mL mark, and so a reasonable estimate of the liquid's volume would be 21.6 mL. In the number 21.6, then, the digits and are certain, but the is an estimate. Some people might estimate the meniscus position to be equally distant from each of the markings and estimate the tenth-place digit as 5, while others may think it to be even closer to the 22-mL mark and estimate this digit to be 7. Note that it would be pointless to attempt to estimate a digit for the hundredths place, given that the tenths-place digit is uncertain. In general, numerical scales such as the one on this graduated cylinder will permit measurements to one- tenth of the smallest scale division. The scale in this case has 1-mL divisions, and so volumes may be measured to the nearest 0.1 mL. This concept holds true for all measurements, even if you do not actively make an estimate. If you place a quarter on a standard electronic balance, you may obtain a reading of 6.72 g. The digits and are certain, and the indicates that the mass of the quarter is likely between 6.71 and 6.73 grams. The quarter weighs about 6.72 grams, with a nominal uncertainty in the measurement of 0.01 gram. If the coin is weighed on a more sensitive balance, the mass might be 6.723 g. This means its mass lies between 6.722 and 6.724 grams, an uncertainty of 0.001 gram. Every measurement has some uncertainty, which depends on the device used (and the user's ability).","1.5 Measurement Uncertainty, Accuracy, and Precision",Chemistry,"volume, water, iron block, iron, density"
"INTRODUCTION CHAPTER Organic Chemistry 20.1 Hydrocarbons 20.2 Alcohols and Ethers 20.3 Aldehydes, Ketones, Carboxylic Acids, and Esters 20.4 Amines and Amides All living things on earth are formed mostly of carbon compounds. The prevalence of carbon compounds in living things has led to the epithet carbon-based life. The truth is we know of no other kind of life. Early chemists regarded substances isolated from organisms (plants and animals) as a different type of matter that could not be synthesized artificially, and these substances were thus known as organic compounds. The widespread belief called vitalism held that organic compounds were formed by a vital force present only in living organisms. The German chemist Friedrich Wohler was one of the early chemists to refute this aspect of vitalism, when, in 1828, he reported the synthesis of urea, a component of many body fluids, from nonliving materials. Since then, it has been recognized that organic molecules obey the same natural laws as inorganic substances, and the category of organic compounds has evolved to include both natural and synthetic compounds that contain carbon. Some carbon- containing compounds are not classified as organic, for example, carbonates and cyanides, and simple oxides, such as CO and CO2. Although a single, precise definition has yet to be identified by the chemistry community, most agree that a defining trait of organic molecules is the presence of carbon as the principal element, bonded to hydrogen and other carbon atoms. Today, organic compounds are key components of plastics, soaps, perfumes, sweeteners, fabrics, pharmaceuticals, and many other substances that we use every day. The value to us of organic compounds ensures that organic chemistry is an important discipline within the general field of chemistry. In this chapter, we discuss why the element carbon gives rise to a vast number and variety of compounds, how those compounds are classified, and the role of organic compounds in representative biological and industrial settings. 20.",Introduction to Organic Chemistry,Chemistry,"carboxylic acids, organic compounds, organic, carbon, compounds"
"4.4 Reaction Yields By the end of this section, you will be able to: Explain the concepts of theoretical yield and limiting reactants/reagents. Derive the theoretical yield for a reaction under specified conditions. Calculate the percent yield for a reaction. The relative amounts of reactants and products represented in a balanced chemical equation are often referred to as stoichiometric amounts. All the exercises of the preceding module involved stoichiometric amounts of reactants. For example, when calculating the amount of product generated from a given amount of reactant, it was assumed that any other reactants required were available in stoichiometric amounts (or greater). In this module, more realistic situations are considered, in which reactants are not present in stoichiometric amounts. Limiting Reactant Consider another food analogy, making grilled cheese sandwiches : Stoichiometric amounts of sandwich ingredients for this recipe are bread and cheese slices in a 2:1 ratio. Provided with slices of bread and slices of cheese, one may prepare sandwiches per the provided recipe, using all the provided cheese and having six slices of bread left over. In this scenario, the number of sandwiches prepared has been limited by the number of cheese slices, and the bread slices have been provided in excess. CHEMISTRY IN EVERYDAY LIFE Airbags Airbags are a safety feature provided in most automobiles since the 1990s. The effective operation of an airbag requires that it be rapidly inflated with an appropriate amount (volume) of gas when the vehicle is involved in a collision. This requirement is satisfied in many automotive airbag systems through use of explosive chemical reactions, one common choice being the decomposition of sodium azide, NaN3. When sensors in the vehicle detect a collision, an electrical current is passed through a carefully measured amount of NaN3 to initiate its decomposition: This reaction is very rapid, generating gaseous nitrogen that can deploy and fully inflate a typical airbag in a fraction of a second (~0.03 0.1 s). Among many engineering considerations, the amount of sodium azide used must be appropriate for generating enough nitrogen gas to fully inflate the air bag and ensure its proper function. For example, a small mass (~100 g) of NaN3 will generate approximately L of N2. 4 Stoichiometry of Chemical Reactions Consider this concept now with regard to a chemical process, the reaction of hydrogen with chlorine to yield hydrogen chloride: The balanced equation shows the hydrogen and chlorine react in a 1:1 stoichiometric ratio. If these reactants are provided in any other amounts, one of the reactants will nearly always be entirely consumed, thus limiting the amount of product that may be generated. This substance is the limiting reactant, and the other substance is the excess reactant. Identifying the limiting and excess reactants for a given situation requires computing the molar amounts of each reactant provided and comparing them to the stoichiometric amounts represented in the balanced chemical equation. For example, imagine combining moles of H2 and moles of Cl2. This represents a 3:2 (or 1.5:1) ratio of hydrogen to chlorine present for reaction, which is greater than the stoichiometric ratio of 1:1. Hydrogen, therefore, is present in excess, and chlorine is the limiting reactant. Reaction of all the provided chlorine (2 mol) will consume mol of the mol of hydrogen provided, leaving mol of hydrogen unreacted. An alternative approach to identifying the limiting reactant involves comparing the amount of product expected for the complete reaction of each reactant. Each reactant amount is used to separately calculate the amount of product that would be formed per the reaction's stoichiometry. The reactant yielding the lesser amount of product is the limiting reactant. For the example in the previous paragraph, complete reaction of the hydrogen would yield Complete reaction of the provided chlorine would produce The chlorine will be completely consumed once moles of HCl have been produced. Since enough hydrogen was provided to yield moles of HCl, there will be unreacted hydrogen remaining once this reaction is complete. Chlorine, therefore, is the limiting reactant and hydrogen is the excess reactant . 4.4 Reaction Yields This illustration shows a reaction in which hydrogen is present in excess and chlorine is the limiting reactant. LINK T O LE ARNING View this interactive simulation ( illustrating the concepts of limiting and excess reactants. EXAMPLE 4.",4.4 Reaction Yields,Chemistry,"learning objectives, stoichiometric amounts, limiting reactant, reaction, reactant"
"decreases too far, an increase in breathing removes CO2 from the blood through the lungs driving the equilibrium reaction such that [H3O+] is lowered. If the blood is too alkaline, a lower breath rate increases CO2 concentration in the blood, driving the equilibrium reaction the other way, increasing [H+] and restoring an appropriate pH. LINK T O LE ARNING View information ( on the buffer system encountered in natural waters. 14.7 Acid-Base Titrations By the end of this section, you will be able to: Interpret titration curves for strong and weak acid-base systems Compute sample pH at important stages of a titration Explain the function of acid-base indicators As seen in the chapter on the stoichiometry of chemical reactions, titrations can be used to quantitatively analyze solutions for their acid or base concentrations. In this section, we will explore the underlying chemical equilibria that make acid-base titrimetry a useful analytical technique. Titration Curves A titration curve is a plot of some solution property versus the amount of added titrant. For acid-base titrations, solution pH is a useful property to monitor because it varies predictably with the solution composition and, therefore, may be used to monitor the titration's progress and detect its end point. The following example exercise demonstrates the computation of pH for a titration solution after additions of several specified titrant volumes. The first example involves a strong acid titration that requires only stoichiometric calculations to derive the solution pH. The second example addresses a weak acid titration requiring equilibrium calculations. EXAMPLE 14.21 Calculating pH for Titration Solutions: Strong Acid/Strong Base A titration is carried out for 25.00 mL of 0.100 M HCl (strong acid) with 0.100 M of a strong base NaOH (the titration curve is shown ). Calculate the pH at these volumes of added base solution: (a) 0.00 mL (b) 12.50 mL (c) 25.00 mL (d) 37.50 mL Solution (a) Titrant volume = mL. The solution pH is due to the acid ionization of HCl. Because this is a strong acid, the ionization is complete and the hydronium ion molarity is 0.100 M. The pH of the solution is then (b) Titrant volume = 12.50 mL. Since the acid sample and the base titrant are both monoprotic and equally concentrated, this titrant addition involves less than a stoichiometric amount of base, and so it is completely consumed by reaction with the excess acid in the sample. The concentration of acid remaining is computed by subtracting the consumed amount from the intial amount and then dividing by the solution volume: 14 Acid-Base Equilibria (c) Titrant volume = 25.00 mL. This titrant addition involves a stoichiometric amount of base (the equivalence point), and so only products of the neutralization reaction are in solution (water and NaCl). Neither the cation nor the anion of this salt undergo acid-base ionization; the only process generating hydronium ions is the autoprotolysis of water. The solution is neutral, having a pH = 7.00. (d) Titrant volume = 37.50 mL. This involves the addition of titrant in excess of the equivalence point. The solution pH is then calculated using the concentration of hydroxide ion: pH = pOH = + log([OH ]) = + log(0.0200) = 12.30 Check Your Learning Calculate the pH for the strong acid/strong base titration between 50.0 mL of 0.100 M HNO3(aq) and 0.200 M NaOH (titrant) at the listed volumes of added base: 0.00 mL, 15.0 mL, 25.0 mL, and 40.0 mL. Answer: 0.00: 1.000; 15.0: 1.5111; 25.0: 7; 40.0: 12.523 EXAMPLE 14.22 Titration of a Weak Acid with a Strong Base Consider the titration of 25.00 mL of 0.100 M CH3CO2H with 0.100 M NaOH. The reaction can be represented as: Calculate the pH of the titration solution after the addition of the following volumes of NaOH titrant: (a) 0.00 mL (b) 25.00 mL (c) 12.50 mL (d) 37.50 mL Solution (a) The initial pH is computed for the acetic acid solution in the usual ICE approach: and (b) The acid and titrant are both monoprotic and the sample and titrant solutions are equally concentrated; thus, this volume of titrant represents the equivalence point. Unlike the strong-acid example above, however, the reaction mixture in this case contains a weak conjugate base (acetate ion). The solution pH is computed considering the base ionization of acetate, which is present at a concentration of Base ionization of acetate is represented by the equation 14.7 Acid-Base Titrations Assuming x << 0.0500, the pH may be calculated via the usual ICE approach: Note that the pH at the equivalence point of this titration is significantly greater than 7, as expected when titrating a weak acid with a strong base. (c) Titrant volume = 12.50 mL. This volume represents one-half of the stoichiometric amount of titrant, and so one- half of the acetic acid has been neutralized to yield an equivalent amount of acetate ion.",14.7 Acid-Base Titrations,Chemistry,"titration, solution, titrant, strong acid, strong base"
"Multiplication and Division with Significant Figures Multiply 0.6238 by 6.6. Solution When rounding numbers, increase the retained digit by if it is followed by a number larger than ( round up ). Do not change the retained digit if the digits that follow are less than ( round down ). If the retained digit is followed by 5, round up if the retained digit is odd, or round down if it is even (after rounding, the retained digit will thus always be even). The Use of Logarithms and Exponential Numbers The common logarithm of a number (log) is the power to which must be raised to equal that number. For example, the common logarithm of is 2, because must be raised to the second power to equal 100. Additional examples follow. Logarithms and Exponential Numbers Number Number Expressed Exponentially Common Logarithm 103 10 1 100 0.1 1 0.001 3 TABLE B1 What is the common logarithm of 60? Because lies between and 100, which have logarithms of and 2, respectively, the logarithm of is 1.7782; that is, The common logarithm of a number less than has a negative value. The logarithm of 0.03918 is 1.4069, or To obtain the common logarithm of a number, use the log button on your calculator. To calculate a number from its logarithm, take the inverse log of the logarithm, or calculate 10x (where x is the logarithm of the number). The natural logarithm of a number (ln) is the power to which e must be raised to equal the number; e is the constant 2.7182818. For example, the natural logarithm of is 2.303; that is, To obtain the natural logarithm of a number, use the ln button on your calculator. To calculate a number from its natural logarithm, enter the natural logarithm and take the inverse ln of the natural logarithm, or calculate ex (where x is the natural logarithm of the number). Logarithms are exponents; thus, operations involving logarithms follow the same rules as operations involving exponents. 1. The logarithm of a product of two numbers is the sum of the logarithms of the two numbers.",The Use of Logarithms and Exponential Numbers,Chemistry,"figures multiply, significant figures, logarithm, common logarithm, natural logarithm"
"Tin reacts readily with nonmetals and acids to form tin(II) compounds (indicating that it is more easily oxidized than hydrogen) and with nonmetals to form either tin(II) or tin(IV) compounds (shown ), depending on the stoichiometry and reaction conditions. Lead is less reactive. It is only slightly easier to oxidize than hydrogen, and oxidation normally requires a hot concentrated acid. Many of these elements exist as allotropes. Allotropes are two or more forms of the same element in the same physical state with different chemical and physical properties. There are two common allotropes of tin. These allotropes are grey (brittle) tin and white tin. As with other allotropes, the difference between these forms of tin is in the arrangement of the atoms. White tin is stable above 13.2 C and is malleable like other metals. At low temperatures, gray tin is the more stable form. Gray tin is brittle and tends to break down to a powder. Consequently, articles made of tin will disintegrate in cold weather, particularly if the cold spell is lengthy. The change progresses slowly from the spot of origin, and the gray tin that is first formed catalyzes further change. In a way, this effect is similar to the spread of an infection in a plant or animal body, leading people to call this process tin disease or tin pest. The principal use of tin is in the coating of steel to form tin plate-sheet iron, which constitutes the tin in tin cans. Important tin alloys are bronze (Cu and Sn) and solder (Sn and Pb). Lead is important in the lead storage batteries in automobiles. Group Bismuth, the heaviest member of group 15, is a less reactive metal than the other representative metals. It readily gives up three of its five valence electrons to active nonmetals to form the tri-positive ion, Bi3+. It forms compounds with the group oxidation state of 5+ only when treated with strong oxidizing agents. The stability of the 3+-oxidation state is another example of the inert pair effect. 18.2 Occurrence and Preparation of the Representative Metals By the end of this section, you will be able to: Identify natural sources of representative metals Describe electrolytic and chemical reduction processes used to prepare these elements from natural sources Because of their reactivity, we do not find most representative metals as free elements in nature. However, compounds that contain ions of most representative metals are abundant. In this section, we will consider the two common techniques used to isolate the metals from these compounds electrolysis and chemical reduction. These metals primarily occur in minerals, with lithium found in silicate or phosphate minerals, and sodium and potassium found in salt deposits from evaporation of ancient seas and in silicates. The alkaline earth metals occur as silicates and, with the exception of beryllium, as carbonates and sulfates. Beryllium occurs as the mineral beryl, Be3Al2Si6O18, which, with certain impurities, may be either the gemstone emerald or aquamarine. Magnesium is in seawater and, along with the heavier alkaline earth metals, occurs as silicates, carbonates, and sulfates. Aluminum 18 Representative Metals, Metalloids, and Nonmetals occurs abundantly in many types of clay and in bauxite, an impure aluminum oxide hydroxide. The principle tin ore is the oxide cassiterite, SnO2, and the principle lead and thallium ores are the sulfides or the products of weathering of the sulfides. The remaining representative metals occur as impurities in zinc or aluminum ores. Electrolysis Ions of metals in of groups and 2, along with aluminum, are very difficult to reduce; therefore, it is necessary to prepare these elements by electrolysis, an important process discussed in the chapter on electrochemistry. Briefly, electrolysis involves using electrical energy to drive unfavorable chemical reactions to completion; it is useful in the isolation of reactive metals in their pure forms. Sodium, aluminum, and magnesium are typical examples. The Preparation of Sodium The most important method for the production of sodium is the electrolysis of molten sodium chloride; the set-up is a Downs cell, shown . The reaction involved in this process is: The electrolysis cell contains molten sodium chloride (melting point C), to which calcium chloride has been added to lower the melting point to C (a colligative effect). The passage of a direct current through the cell causes the sodium ions to migrate to the negatively charged cathode and pick up electrons, reducing the ions to sodium metal. Chloride ions migrate to the positively charged anode, lose electrons, and undergo oxidation to chlorine gas. The overall cell reaction comes from adding the following reactions: Separation of the molten sodium and chlorine prevents recombination.",18.2 Occurrence and Preparation of the Representative Metals,Chemistry,"tin, representative metals, metals, sodium, representative"
